ot; 1; 
FECHA_INICIO; 16/02/2019; 
FECHA_FINALIZO; 16/02/2019; 
MOT; 1; 
LAT; 24.8061223; 
LON; -65.3856294; 
LAT_INI; -24.789107; 
LON_INI; -65.410366; 
C; USUARIO; 
OBS; ; 
direccion; MANZANA 745 1; 
ACTUAL; NO; 
MOT_OT; PERDIDA DE AGUA EN CALZADA; 
equipos; 0; 
legajo; usuario; 
movil; ; 
Pasos:;;
 desc campo; foto inicio;
 tipo; FOTO
;
 valor; 1;
 REALIZADO; SI;
 desc campo; estados de los postes
;
 tipo; CADENA
;
 valor; 1;
 REALIZADO; SI;
 desc campo; cruces americanos
;
 tipo; CADENA
;
 valor; ;
 REALIZADO; NO;
